r_id,amamapare_port_power_station_unit_1,amamapare_port_power_station_unit_2,amamapare_port_power_station_unit_3,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,bp_berau_ltd,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_wind,amamapare_port_power_station_battery,bp_berau_ltd_battery
247,1,1,1,0.141,0.141,0.141,0.141,0.141,1,0.071,0.071,0.071,0.071,0.071,0.009,1,1
248,1,1,1,0.303,0.303,0.303,0.303,0.303,1,0.2,0.2,0.2,0.2,0.2,0,1,1
249,1,1,1,0.427,0.427,0.427,0.427,0.427,1,0.314,0.314,0.314,0.314,0.314,0,1,1
250,1,1,1,0.505,0.505,0.505,0.505,0.505,1,0.378,0.378,0.378,0.378,0.378,0.001,1,1
251,1,1,1,0.516,0.516,0.516,0.516,0.516,1,0.415,0.415,0.415,0.415,0.415,0.002,1,1
252,1,1,1,0.469,0.469,0.469,0.469,0.469,1,0.415,0.415,0.415,0.415,0.415,0.006,1,1
253,1,1,1,0.375,0.375,0.375,0.375,0.375,1,0.381,0.381,0.381,0.381,0.381,0.014,1,1
254,1,1,1,0.249,0.249,0.249,0.249,0.249,1,0.312,0.312,0.312,0.312,0.312,0.021,1,1
255,1,1,1,0.157,0.157,0.157,0.157,0.157,1,0.2,0.2,0.2,0.2,0.2,0.019,1,1
256,1,1,1,0.065,0.065,0.065,0.065,0.065,1,0.086,0.086,0.086,0.086,0.086,0.016,1,1
257,1,1,1,0.005,0.005,0.005,0.005,0.005,1,0.017,0.017,0.017,0.017,0.017,0.017,1,1
258,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.022,1,1
259,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.027,1,1
260,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.032,1,1
261,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.03,1,1
262,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.019,1,1
263,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.011,1,1
264,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.015,1,1
265,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.028,1,1
266,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.037,1,1
