# developable solar land per village, derived from usable_land_ntt.shp
# region=Kupang|Kota Kupang|Timor Tengah Selatan|Timor Tengah Utara|Belu excluded_classes=Settlement Area mwp_per_km2=50 max_radius_km=10
# nearest-village allocation; land beyond the radius (0.0 km²) is not attributed to any village
Village,developable_km2,developable_MW,source
731,1.7726,88.63,sited
732,0.0,233.6,fallback
733,1.5515,77.57,sited
734,4.5113,225.57,sited
735,3.6668,183.34,sited
736,0.0,233.6,fallback
737,0.0,233.6,fallback
738,3.3487,167.43,sited
739,3.3708,168.54,sited
740,1.1054,55.27,sited
741,0.7047,35.24,sited
742,0.9792,48.96,sited
743,1.3409,67.05,sited
744,2.0164,100.82,sited
745,1.8698,93.49,sited
746,0.0,233.6,fallback
747,1.7647,88.24,sited
748,1.9697,98.48,sited
749,2.2846,114.23,sited
750,1.4959,74.8,sited
751,2.5099,125.5,sited
752,2.9345,146.72,sited
753,1.6752,83.76,sited
754,2.0576,102.88,sited
755,1.7705,88.52,sited
756,1.6262,81.31,sited
757,19.6475,982.37,sited
758,20.1047,1005.24,sited
759,15.2463,762.32,sited
760,17.7475,887.38,sited
761,1.7332,86.66,sited
762,5.3957,269.78,sited
763,9.2639,463.2,sited
764,0.7854,39.27,sited
765,6.0249,301.25,sited
766,5.6609,283.05,sited
767,5.2131,260.66,sited
768,6.8165,340.83,sited
769,3.9829,199.15,sited
770,4.8717,243.59,sited
771,6.1808,309.04,sited
772,5.3909,269.54,sited
773,4.2238,211.19,sited
774,5.3899,269.49,sited
775,4.3534,217.67,sited
776,0.0,233.6,fallback
777,1.1872,59.36,sited
778,3.5505,177.52,sited
779,2.3998,119.99,sited
780,2.9091,145.45,sited
