Village,gen_cost,solar_cost,diesel_cost,battery_power_cost,battery_energy_cost,total_cost
117,47263.21906711477,35374.91652730053,4891.811163279607,6996.491376534638,50848.36984801131,98111.58891512608
118,33508.33876616238,25049.189951979934,3480.7899379938153,4978.3588761886285,36181.90018934504,69690.23895550742
119,28248.162664738877,21122.885406973783,2932.050297388781,4193.226960376313,30476.90218969568,58725.06485443456
120,33694.20068590226,25120.723331216617,3527.7684108400017,5045.70894384564,36670.56647478458,70364.76716068684
121,46220.01285682897,34389.377488711885,4868.395993957147,6962.239374159937,50605.84455099292,96825.8574078219
122,34775.08445092204,25916.038096991513,3645.349887434962,5213.696466495564,37892.3548499283,72667.43930085034
123,33043.86857402606,24756.32170403821,3410.238181842333,4877.308688145521,35449.358150172935,68493.22672419899
124,34615.53042638374,25946.701843716935,3566.8657229256323,5101.962859741174,37078.560653906345,71694.09108029009
125,47859.66651971795,35781.82457737254,4970.192673269252,7107.649269076158,51663.18328192313,99522.84980164107
126,36907.727370234905,27648.802327791993,3810.0957010816546,5448.829341361256,39603.295315315234,76511.02268555014
127,63878.792731715715,47894.85005475017,6577.328452294999,9406.61422467055,68370.07012377318,132248.8628554889
128,54239.99091765307,40427.16424367261,5683.617549968775,8129.209124011687,59081.76167826938,113321.75259592244
129,48298.89985382718,36277.11210759863,4946.7526512797185,7075.035094948829,51421.02036669622,99719.9202205234
130,38037.348572735296,28396.785544725124,3966.794529698785,5673.768498311386,41234.08020462381,79271.4287773591
131,43919.002903063374,32754.571862496392,4593.791692409399,6570.639348157583,47755.72843221559,91674.73133527896
132,36806.67693249695,27699.668196705792,3747.3579101212194,5359.650825669937,38954.011797725245,75760.6887302222
133,29456.00400728445,21873.773281259088,3120.2361084825,4461.994617542864,32432.446003899193,61888.45001118364
134,46253.11082787867,34402.99822165947,4876.1523543768835,6973.960251842312,50689.16363047558,96942.27445835425
135,68006.30506490335,50421.815374782374,7235.762555382975,10348.727134738006,75213.89733262494,143220.20239752828
136,33240.469475940066,24667.29638433133,3527.768411431516,5045.404680177219,36669.92991423627,69910.39939017635
137,15079.133817267164,11287.973548568452,1560.1133054534314,2231.0469632452814,16216.551411728837,31295.685228996
138,15120.875518320381,11463.03874019736,1505.2696664530172,2152.5671116700037,15646.730560353935,30767.60607867432
139,50925.97349157459,38180.157154690896,5244.557073161968,7501.259263721724,54518.304613404194,105444.27810497879
140,9982.270237595147,7524.768219869288,1011.1932821721057,1446.3087355537532,10512.621639863253,20494.8918774584
141,23461.448801297218,17974.56956359953,2257.6831525276434,3229.1960851700455,23470.47266712386,46931.921468421075
142,32676.580522524702,25150.915171218167,3096.5891122978355,4429.076239008699,32190.159859492454,64866.74038201716
143,38817.80270751941,29063.18991796883,4013.887087570947,5740.725701979638,41723.86479960112,80541.66750712052
144,29801.90401109989,22486.113726556927,3010.345313713732,4305.444970829229,31292.650643174766,61094.55465427466
145,29592.354382659818,22143.372390366912,3065.2743188451805,4383.707673447726,31862.077618100182,61454.43200076
146,26433.01862072326,19878.925425235142,2696.8341959360628,3857.258999552053,28033.989216053855,54467.00783677711
147,11763.244481610483,8905.67952406022,1175.79348675483,1681.7714707954333,12224.0210138525,23987.265495462983
148,11111.189697159933,8386.669141311351,1121.1250601411482,1603.3954957074334,11653.60758371178,22764.797280871713
149,23117.469204524707,17725.773113225085,2218.5504044471545,3173.145686852468,23061.49317424138,46178.96237876608
150,43852.38786000095,33487.64547494483,4264.797631469404,6099.944753586718,44333.017673338356,88185.4055333393
151,26054.82720356805,19862.81724633565,2547.847440456248,3644.1625167761526,26484.122583444154,52538.9497870122
152,36826.40642014025,27567.620673865917,3810.0957015596828,5448.690044714647,39604.302473244315,76430.70889338457
153,15382.237961817706,11514.854471725568,1591.4963579294488,2275.887132162689,16542.517029933933,31924.754991751637
154,25700.23479204514,19393.77569308666,2594.853972795948,3711.605126162531,26974.567730476025,52674.80252252116
155,32507.03717328061,24790.899842151463,3174.9828462608266,4541.15448486832,33004.672217670246,65511.709390950855
156,20976.04255939009,16041.578040981978,2030.436426064529,2904.0280923435826,21106.516161586802,42082.55872097689
157,40377.53393358185,30528.236432311776,4053.041093239365,5796.256408030709,42131.059487040264,82508.59342062211
158,20330.805533038798,15186.60336861054,2116.665227174505,3027.536937253752,22003.31207016436,42334.11760320316
159,18364.970579077166,13907.07770980602,1834.308860573841,2623.584008697305,19069.261600377788,37434.23217945495
160,41555.009639549215,30696.01722233592,4468.49840693662,6390.494010276678,46451.18108351037,88006.19072305958
161,40433.97203441929,30222.814710294853,4201.850738084014,6009.306586040427,43677.60476026802,84111.57679468731
162,29104.024231202253,21902.78193024771,2963.3837219413017,4237.858579013237,30804.91465278924,59908.93888399149
163,24831.75610188493,18716.12305242317,2516.4260321476777,3599.207017314086,26157.86516246641,50989.62126435134
164,22448.86783168741,17000.191486853677,2242.125176567041,3206.5511682666925,23306.412572070076,45755.28040375748
165,25361.11194191954,19188.257003790528,2540.000804339525,3632.8541337894862,26402.825659629758,51763.937601549296
