Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
,,,,,,,,,221,1,17,5,2023-01-17T03:40:00+08:00,12,9,178,361
,,,,,,,,,222,1,17,6,2023-01-17T04:40:00+08:00,12,9,178,361
,,,,,,,,,223,1,17,7,2023-01-17T05:40:00+08:00,20,15,297,602
,,,,,,,,,224,1,17,8,2023-01-17T06:40:00+08:00,20,15,297,602
,,,,,,,,,225,1,17,9,2023-01-17T07:40:00+08:00,20,15,297,602
,,,,,,,,,226,1,17,10,2023-01-17T08:40:00+08:00,20,15,297,602
,,,,,,,,,227,1,17,11,2023-01-17T09:40:00+08:00,20,15,297,602
,,,,,,,,,228,1,17,12,2023-01-17T10:40:00+08:00,20,15,297,602
,,,,,,,,,229,1,17,13,2023-01-17T11:40:00+08:00,20,15,297,602
,,,,,,,,,230,1,17,14,2023-01-17T12:40:00+08:00,20,15,297,602
,,,,,,,,,231,1,17,15,2023-01-17T13:40:00+08:00,20,15,297,602
,,,,,,,,,232,1,17,16,2023-01-17T14:40:00+08:00,20,15,297,602
,,,,,,,,,233,1,17,17,2023-01-17T15:40:00+08:00,20,15,297,602
,,,,,,,,,234,1,17,18,2023-01-17T16:40:00+08:00,20,15,297,602
,,,,,,,,,235,1,17,19,2023-01-17T17:40:00+08:00,16,12,237,481
,,,,,,,,,236,1,17,20,2023-01-17T18:40:00+08:00,16,12,237,481
,,,,,,,,,237,1,17,21,2023-01-17T19:40:00+08:00,16,12,237,481
,,,,,,,,,238,1,17,22,2023-01-17T20:40:00+08:00,16,12,237,481
,,,,,,,,,239,1,17,23,2023-01-17T21:40:00+08:00,16,12,237,481
,,,,,,,,,240,1,17,24,2023-01-17T22:40:00+08:00,16,12,237,481
,,,,,,,,,241,1,18,1,2023-01-17T23:40:00+08:00,12,9,178,361
,,,,,,,,,242,1,18,2,2023-01-18T00:40:00+08:00,12,9,178,361
,,,,,,,,,243,1,18,3,2023-01-18T01:40:00+08:00,12,9,178,361
,,,,,,,,,244,1,18,4,2023-01-18T02:40:00+08:00,12,9,178,361
,,,,,,,,,245,1,18,5,2023-01-18T03:40:00+08:00,12,9,178,361
,,,,,,,,,246,1,18,6,2023-01-18T04:40:00+08:00,12,9,178,361
,,,,,,,,,247,1,18,7,2023-01-18T05:40:00+08:00,20,15,297,602
,,,,,,,,,248,1,18,8,2023-01-18T06:40:00+08:00,20,15,297,602
,,,,,,,,,249,1,18,9,2023-01-18T07:40:00+08:00,20,15,297,602
,,,,,,,,,250,1,18,10,2023-01-18T08:40:00+08:00,20,15,297,602
,,,,,,,,,251,1,18,11,2023-01-18T09:40:00+08:00,20,15,297,602
,,,,,,,,,252,1,18,12,2023-01-18T10:40:00+08:00,20,15,297,602
,,,,,,,,,253,1,18,13,2023-01-18T11:40:00+08:00,20,15,297,602
,,,,,,,,,254,1,18,14,2023-01-18T12:40:00+08:00,20,15,297,602
,,,,,,,,,255,1,18,15,2023-01-18T13:40:00+08:00,20,15,297,602
,,,,,,,,,256,1,18,16,2023-01-18T14:40:00+08:00,20,15,297,602
,,,,,,,,,257,1,18,17,2023-01-18T15:40:00+08:00,20,15,297,602
,,,,,,,,,258,1,18,18,2023-01-18T16:40:00+08:00,20,15,297,602
,,,,,,,,,259,1,18,19,2023-01-18T17:40:00+08:00,16,12,237,481
,,,,,,,,,260,1,18,20,2023-01-18T18:40:00+08:00,16,12,237,481
,,,,,,,,,261,1,18,21,2023-01-18T19:40:00+08:00,16,12,237,481
,,,,,,,,,262,1,18,22,2023-01-18T20:40:00+08:00,16,12,237,481
,,,,,,,,,263,1,18,23,2023-01-18T21:40:00+08:00,16,12,237,481
,,,,,,,,,264,1,18,24,2023-01-18T22:40:00+08:00,16,12,237,481
,,,,,,,,,265,1,19,1,2023-01-18T23:40:00+08:00,12,9,178,361
,,,,,,,,,266,1,19,2,2023-01-19T00:40:00+08:00,12,9,178,361
,,,,,,,,,267,1,19,3,2023-01-19T01:40:00+08:00,12,9,178,361
,,,,,,,,,268,1,19,4,2023-01-19T02:40:00+08:00,12,9,178,361
,,,,,,,,,269,1,19,5,2023-01-19T03:40:00+08:00,12,9,178,361
,,,,,,,,,270,1,19,6,2023-01-19T04:40:00+08:00,12,9,178,361
