R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
187,5,sulawesi,southeast_sulawesi,southeast_sulawesi_biogas_potential_ruen,biogas,18,0,,potential,,,1,2150000,0,0,89200,0,0.1,18,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,1,
188,6,sulawesi,west_sulawesi,west_sulawesi_biogas_potential_ruen,biogas,35,0,,potential,,,1,2150000,0,0,89200,0,0.1,35,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,1,
189,1,sulawesi,north_sulawesi,north_sulawesi_solar_potential_ruen,solar,2113,0,,potential,,,1,560000,0,0,10000,0,0,2113,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
190,2,sulawesi,gorontalo,gorontalo_solar_potential_ruen,solar,1218,0,,potential,,,1,560000,0,0,10000,0,0,1218,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
191,3,sulawesi,central_sulawesi,central_sulawesi_solar_potential_ruen,solar,6187,0,,potential,,,1,560000,0,0,10000,0,0,6187,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
192,4,sulawesi,south_sulawesi,south_sulawesi_solar_potential_ruen,solar,7588,0,,potential,,,1,560000,0,0,10000,0,0,7588,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
193,5,sulawesi,southeast_sulawesi,southeast_sulawesi_solar_potential_ruen,solar,3917,0,,potential,,,1,560000,0,0,10000,0,0,3917,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
194,6,sulawesi,west_sulawesi,west_sulawesi_solar_potential_ruen,solar,1677,0,,potential,,,1,560000,0,0,10000,0,0,1677,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
195,1,sulawesi,north_sulawesi,north_sulawesi_wind_potential_ruen,wind,1214,0,,potential,,,1,1280000,0,0,51000,0,0,1214,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
196,2,sulawesi,gorontalo,gorontalo_wind_potential_ruen,wind,137,0,,potential,,,1,1280000,0,0,51000,0,0,137,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
197,3,sulawesi,central_sulawesi,central_sulawesi_wind_potential_ruen,wind,908,0,,potential,,,1,1280000,0,0,51000,0,0,908,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
198,4,sulawesi,south_sulawesi,south_sulawesi_wind_potential_ruen,wind,4193,0,,potential,,,1,1280000,0,0,51000,0,0,4193,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
199,5,sulawesi,southeast_sulawesi,southeast_sulawesi_wind_potential_ruen,wind,1414,0,,potential,,,1,1280000,0,0,51000,0,0,1414,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
200,6,sulawesi,west_sulawesi,west_sulawesi_wind_potential_ruen,wind,514,0,,potential,,,1,1280000,0,0,51000,0,0,514,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,0,,,1,
201,1,sulawesi,north_sulawesi,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
202,1,sulawesi,north_sulawesi,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
203,1,sulawesi,north_sulawesi,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
204,1,sulawesi,north_sulawesi,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
205,1,sulawesi,north_sulawesi,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
206,1,sulawesi,north_sulawesi,ccgt_candidate_2,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
207,1,sulawesi,north_sulawesi,ccgt_candidate_3,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
208,1,sulawesi,north_sulawesi,ccgt_candidate_4,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
209,1,sulawesi,north_sulawesi,diesel_candidate_1,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
